
05/22	SBIN	            EQ	        253.90	        244.45	          3.87
05/22	COALINDIA	            EQ	        279.05	        270.25	          3.26

05/23	SBIN	            EQ	        263.20	        253.90	          3.66
05/23	TECHM	            EQ	        697.45	        686.40	          1.61
05/23	CIPLA	            EQ	        532.40	        524.00	           1.6
05/23	NTPC	            EQ	        166.55	        165.15	           .85
05/23	GRASIM	            EQ	       1047.35	       1039.50	           .76

05/24	BHARTIARTL	            EQ	        371.90	        356.80	          4.23
05/24	TCS	            EQ	       3603.70	       3495.10	          3.11
05/24	INFY	            EQ	       1221.00	       1184.90	          3.05
05/24	AXISBANK	            EQ	        534.45	        520.25	          2.73
05/24	SUNPHARMA	            EQ	        462.85	        452.25	          2.34

05/25	IBULHSGFIN	            EQ	       1172.10	       1111.80	          5.42
05/25	HINDALCO	            EQ	        245.50	        234.10	          4.87
05/25	IOC	            EQ	        163.45	        155.90	          4.84
05/25	ONGC	            EQ	        175.45	        167.70	          4.62
05/25	HINDPETRO	            EQ	        295.20	        283.25	          4.22

05/28	SUNPHARMA	            EQ	        499.70	        466.45	          7.13
05/28	HINDPETRO	            EQ	        313.10	        295.20	          6.06
05/28	BPCL	            EQ	        402.00	        380.55	          5.64
05/28	GAIL	            EQ	        336.40	        319.15	           5.4
05/28	LUPIN	            EQ	        782.50	        745.60	          4.95

05/29	M&M	            EQ	        870.25	        849.95	          2.39
05/29	GAIL	            EQ	        342.95	        336.40	          1.95
05/29	HCLTECH	            EQ	        905.10	        894.50	          1.19
05/29	IOC	            EQ	        172.45	        170.45	          1.17
05/29	BHARTIARTL	            EQ	        379.15	        375.15	          1.07

05/30	M&M	            EQ	        897.95	        870.25	          3.18
05/30	COALINDIA	            EQ	        289.05	        282.35	          2.37
05/30	BAJFINANCE	            EQ	       2118.65	       2077.10	             2
05/30	YESBANK	            EQ	        343.15	        338.05	          1.51
05/30	KOTAKBANK	            EQ	       1303.25	       1284.25	          1.48

05/31	ADANIPORTS	            EQ	        392.15	        374.40	          4.74
05/31	HDFCBANK	            EQ	       2139.45	       2048.35	          4.45
05/31	INDUSINDBK	            EQ	       1955.45	       1884.85	          3.75
05/31	TECHM	            EQ	        712.35	        687.25	          3.65
05/31	M&M	            EQ	        922.95	        897.95	          2.78

06/01	BAJAJ-AUTO	            EQ	       2896.55	       2750.30	          5.32
06/01	MARUTI	            EQ	       8808.85	       8537.20	          3.18
06/01	BHARTIARTL	            EQ	        383.70	        373.60	           2.7
06/01	HEROMOTOCO	            EQ	       3626.30	       3544.90	           2.3
06/01	HINDALCO	            EQ	        238.50	        234.20	          1.84

06/04	DRREDDY	            EQ	       1996.00	       1941.40	          2.81
06/04	INFY	            EQ	       1239.40	       1220.80	          1.52
06/04	M&M	            EQ	        914.50	        901.60	          1.43
06/04	HINDALCO	            EQ	        241.60	        238.50	           1.3
06/04	LUPIN	            EQ	        773.95	        764.45	          1.24

06/05	CIPLA	            EQ	        542.10	        520.70	          4.11
06/05	BAJFINANCE	            EQ	       2100.60	       2062.85	          1.83
06/05	TATASTEEL	            EQ	        572.10	        566.15	          1.05
06/05	HDFCBANK	            EQ	       2063.60	       2046.20	           .85
06/05	HDFC	            EQ	       1848.40	       1833.15	           .83

06/06	BHARTIARTL	            EQ	        379.75	        364.30	          4.24
06/06	TITAN	            EQ	        899.45	        863.95	          4.11
06/06	TATAMOTORS	            EQ	        295.65	        284.95	          3.76
06/06	SUNPHARMA	            EQ	        489.85	        473.50	          3.45
06/06	IBULHSGFIN	            EQ	       1180.10	       1145.00	          3.07

06/07	TATASTEEL	            EQ	        602.10	        579.75	          3.86
06/07	TATAMOTORS	            EQ	        305.40	        295.65	           3.3
06/07	ICICIBANK	            EQ	        290.90	        283.90	          2.47
06/07	IBULHSGFIN	            EQ	       1208.20	       1180.10	          2.38
06/07	ASIANPAINT	            EQ	       1290.80	       1262.80	          2.22

06/08	SUNPHARMA	            EQ	        528.25	        488.75	          8.08
06/08	LUPIN	            EQ	        810.05	        767.35	          5.56
06/08	DRREDDY	            EQ	       2062.90	       1964.95	          4.98
06/08	CIPLA	            EQ	        559.65	        540.70	           3.5
06/08	GAIL	            EQ	        342.40	        335.25	          2.13

06/11	BHARTIARTL	            EQ	        388.80	        377.55	          2.98
06/11	BAJFINANCE	            EQ	       2250.30	       2186.85	           2.9
06/11	ULTRACEMCO	            EQ	       3790.10	       3715.15	          2.02
06/11	GRASIM	            EQ	       1049.10	       1028.60	          1.99
